crop_name,soil_types,climates,seasons,water_needs,humidity_preference,soil_fertility,ph_range,temperature_range,rainfall_range_mm,growing_period_days,yield_potential_qt_per_ha,major_nutrients_required,pest_resistance,disease_resistance,market_demand
Rice,"clay,loamy,alluvial","tropical,subtropical","summer,rainy",high,high,"medium,high",5.0-8.0,20-35,1000-2500,120-150,35-60,"N-P-K high,Zinc",medium,medium,high
Wheat,"loamy,sandy loam,alluvial","temperate,subtropical","winter,spring",medium,"low,medium","medium,high",6.0-7.5,15-25,650-1000,120-140,40-55,"N-P-K balanced",high,medium,high
Corn,"loamy,sandy,alluvial","temperate,subtropical",summer,medium,medium,"medium,high",5.5-7.5,20-30,500-800,95-110,45-65,"N-P-K high",medium,high,high
Cotton,"loamy,black soil","subtropical,tropical","summer,rainy",medium,medium,high,6.0-8.0,21-30,500-1000,150-180,20-25,"N-P-K balanced",high,medium,high
Sugarcane,"loamy,clay,black soil","tropical,subtropical",spring,high,high,high,6.0-7.5,20-35,1500-2500,365-420,650-800,"N-P-K high,Sulphur",medium,medium,high
Potato,"loamy,sandy loam",temperate,"winter,spring",medium,medium,"medium,high",5.0-6.5,15-25,500-700,90-120,200-250,"N-P-K balanced,Zinc",medium,medium,high
Tomato,"loamy,sandy loam","temperate,subtropical","summer,spring",medium,medium,"medium,high",6.0-7.0,20-30,400-600,90-120,200-250,"N-P-K balanced,Ca",medium,medium,high
Soybean,"loamy,clay loam","temperate,subtropical",summer,medium,medium,medium,6.0-7.5,20-30,450-700,90-120,25-30,"P-K balanced,N low",high,medium,high
Barley,"loamy,clay loam",temperate,"winter,spring",low,low,"low,medium"
Oats,"loamy,sandy loam",temperate,"spring,fall",medium,medium,medium
Chickpea,"sandy loam,loamy",subtropical,winter,low,low,"low,medium"
Mustard,"loamy,clay",subtropical,winter,low,low,medium
Groundnut,"sandy,loamy,red","tropical,subtropical",rainy,medium,medium,medium
Sunflower,"loamy,sandy loam","temperate,subtropical","spring,summer",medium,"low,medium",medium
Mango,"loamy,alluvial,laterite",tropical,summer,medium,"medium,high",medium
Banana,"loamy,alluvial",tropical,rainy,high,high,high
Coffee,"loamy,volcanic","tropical,subtropical",rainy,medium,high,"medium,high"
Tea,"loamy,acidic","tropical,subtropical",rainy,high,high,medium
Cashew,"sandy,red,laterite",tropical,summer,low,medium,"low,medium"
Coconut,"sandy,loamy,laterite",tropical,rainy,medium,high,medium
Orange,"loamy,sandy loam",subtropical,winter,medium,medium,"medium,high"
Apple,"loamy,sandy loam",temperate,spring,medium,"low,medium","medium,high"
Grape,"sandy,loamy","mediterranean,temperate","spring,summer","low,medium",low,medium
Onion,"loamy,sandy loam","temperate,subtropical",winter,medium,"low,medium",medium
Garlic,"loamy,sandy loam",temperate,winter,medium,low,medium
Turmeric,"loamy,sandy loam",tropical,rainy,high,high,high
Ginger,"loamy,sandy loam",tropical,rainy,high,high,high
Chili Pepper,"loamy,sandy loam","tropical,subtropical",summer,medium,"medium,high","medium,high"
Cardamom,"loamy,forest",tropical,rainy,high,high,high
Black Pepper,"loamy,forest",tropical,rainy,high,high,"medium,high"
Millets,"sandy,loamy","tropical,subtropical","summer,rainy",low,low,"low,medium"
Jute,"loamy,clay","tropical,subtropical",rainy,high,high,"medium,high"
